date,month,day,close,closer,diff,perc,country,garb
2020-01-03,01,03,3076.370117,3076,0,0,Russia,
2020-01-06,01,06,3078.870117,3079,3,0.09752925878,Russia,
2020-01-08,01,08,3110.060059,3110,31,1.006820396,Russia,
2020-01-09,01,09,3118.080078,3118,8,0.2572347267,Russia,
2020-01-10,01,10,3123.659912,3124,6,0.1924310455,Russia,
2020-01-13,01,13,3151.689941,3152,28,0.8962868118,Russia,
2020-01-14,01,14,3129.77002,3130,-22,-0.6979695431,Russia,
2020-01-15,01,15,3132.629883,3133,3,0.09584664537,Russia,
2020-01-16,01,16,3157.22998,3157,24,0.7660389403,Russia,
2020-01-17,01,17,3196.879883,3197,40,1.267025657,Russia,
2020-01-20,01,20,3219.919922,3220,23,0.7194244604,Russia,
2020-01-21,01,21,3209.219971,3209,-11,-0.3416149068,Russia,
2020-01-22,01,22,3174.620117,3175,-34,-1.0595201,Russia,
2020-01-23,01,23,3141.199951,3141,-34,-1.070866142,Russia,
2020-01-24,01,24,3146.199951,3146,5,0.1591849729,Russia,
2020-01-27,01,27,3085.159912,3085,-61,-1.938970121,Russia,
2020-01-28,01,28,3113.100098,3113,28,0.9076175041,Russia,
2020-01-29,01,29,3128.800049,3129,16,0.5139736588,Russia,
2020-01-30,01,30,3108.580078,3109,-20,-0.6391818472,Russia,
2020-01-31,01,31,3076.649902,3077,-32,-1.029269862,Russia,
2020-02-03,02,03,3070.840088,3071,-6,-0.1949951251,Russia,
2020-02-04,02,04,3097.600098,3098,27,0.8791924455,Russia,
2020-02-05,02,05,3114.25,3114,16,0.5164622337,Russia,
2020-02-06,02,06,3096.679932,3097,-17,-0.5459216442,Russia,
2020-02-07,02,07,3087.629883,3088,-9,-0.2906038101,Russia,
2020-02-10,02,10,3062.409912,3062,-26,-0.8419689119,Russia,
2020-02-11,02,11,3097.580078,3098,36,1.175702155,Russia,
2020-02-12,02,12,3122.27002,3122,24,0.7746933505,Russia,
2020-02-13,02,13,3110.050049,3110,-12,-0.3843689942,Russia,
2020-02-14,02,14,3096.879883,3097,-13,-0.4180064309,Russia,
2020-02-17,02,17,3110.060059,3110,13,0.4197610591,Russia,
2020-02-18,02,18,3074.050049,3074,-36,-1.15755627,Russia,
2020-02-19,02,19,3114.570068,3115,41,1.333767079,Russia,
2020-02-20,02,20,3125.100098,3125,10,0.3210272873,Russia,
2020-02-21,02,21,3106.030029,3106,-19,-0.608,Russia,
2020-02-25,02,25,3002.679932,3003,-103,-3.316162267,Russia,
2020-02-26,02,26,3017.419922,3017,14,0.4662004662,Russia,
2020-02-27,02,27,2915.840088,2916,-101,-3.347696387,Russia,
2020-02-28,02,28,2785.080078,2785,-131,-4.492455418,Russia,
2020-03-02,03,02,2765.77002,2766,-19,-0.6822262118,Russia,
2020-03-03,03,03,2821.370117,2821,55,1.988430947,Russia,
2020-03-04,03,04,2828.01001,2828,7,0.2481389578,Russia,
2020-03-05,03,05,2816.699951,2817,-11,-0.3889674682,Russia,
2020-03-06,03,06,2719.51001,2720,-97,-3.443379482,Russia,
2020-03-10,03,10,2498.939941,2499,-221,-8.125,Russia,
2020-03-11,03,11,2492.879883,2493,-6,-0.2400960384,Russia,
2020-03-12,03,12,2286.399902,2286,-207,-8.303249097,Russia,
2020-03-13,03,13,2316.379883,2316,30,1.312335958,Russia,
2020-03-16,03,16,2266.899902,2267,-49,-2.115716753,Russia,
2020-03-17,03,17,2224.73999,2225,-42,-1.852668725,Russia,
2020-03-18,03,18,2112.639893,2113,-112,-5.033707865,Russia,
2020-03-19,03,19,2275.699951,2276,163,7.714150497,Russia,
2020-03-20,03,20,2331.610107,2332,56,2.460456942,Russia,
2020-03-23,03,23,2253.350098,2253,-79,-3.387650086,Russia,
